model,target,feature,importance
boosting_huber,target_total_fantasy_points,prior_year_targets_per_game,0.0036039051789294244
boosting_huber,target_total_fantasy_points,prior_year_positional_finish,0.0027009387680395195
boosting_huber,target_total_fantasy_points,prior_team_rush_rate,0.0025847465479295027
boosting_huber,target_total_fantasy_points,prior_team_pass_rate,0.0021447072925210573
boosting_huber,target_total_fantasy_points,recent_usage_trend,0.0021115972182082043
boosting_huber,target_total_fantasy_points,prior_year_carries_per_game,0.001963840138972756
boosting_huber,target_total_fantasy_points,prior_year_boom_week_rate,0.0018192449130085692
boosting_huber,target_total_fantasy_points,prior_year_expected_points_per_game,0.0014110517253278197
boosting_huber,target_total_fantasy_points,prior_year_usage_std_dev,0.0013144794828737648
boosting_huber,target_total_fantasy_points,prior_year_receptions_per_game,0.0012437253522302922
boosting_huber,target_total_fantasy_points,prior_year_snap_share,0.0011573131158733358
boosting_huber,target_total_fantasy_points,years_experience,0.0009434194565813886
boosting_huber,target_total_fantasy_points,recent_production_trend,0.0008443448923467413
boosting_huber,target_total_fantasy_points,multi_year_weighted_opportunities_per_game,0.0005744766133146348
boosting_huber,target_total_fantasy_points,prior_year_fantasy_points_over_expected,0.0004726134652937687
boosting_huber,target_total_fantasy_points,prior_year_coefficient_of_variation,0.00045042608293652703
boosting_huber,target_total_fantasy_points,recent_5_opportunities_per_game,0.0004046392256172423
boosting_huber,target_total_fantasy_points,prior_year_passing_attempts_per_game,0.00027674326286282935
boosting_huber,target_total_fantasy_points,prior_year_games_played,0.00021222785015551692
boosting_huber,target_total_fantasy_points,career_seasons,0.00011685366339202369
boosting_huber,target_total_fantasy_points,prior_year_injury_report_weeks,0.0
boosting_huber,target_total_fantasy_points,prior_year_games_missed_rate,0.0
boosting_huber,target_total_fantasy_points,prior_year_games_missed,0.0
boosting_huber,target_total_fantasy_points,prior_year_bust_week_rate,0.0
boosting_huber,target_total_fantasy_points,prior_year_opportunities_per_game,0.0
boosting_huber,target_total_fantasy_points,prior_year_snap_share_std_dev,0.0
boosting_huber,target_total_fantasy_points,prior_team_offensive_plays_per_game,0.0
boosting_huber,target_total_fantasy_points,missingindicator_prior_year_expected_fantasy_points,0.0
boosting_huber,target_total_fantasy_points,missingindicator_prior_year_expected_points_per_game,0.0
boosting_huber,target_total_fantasy_points,missingindicator_prior_year_fantasy_points_over_expected,0.0
boosting_huber,target_total_fantasy_points,missingindicator_prior_year_snap_share,0.0
boosting_huber,target_total_fantasy_points,missingindicator_prior_year_snap_share_std_dev,0.0
boosting_huber,target_total_fantasy_points,missingindicator_multi_year_weighted_snap_share,0.0
boosting_huber,target_total_fantasy_points,position_QB,0.0
boosting_huber,target_total_fantasy_points,position_RB,0.0
boosting_huber,target_total_fantasy_points,position_TE,0.0
boosting_huber,target_total_fantasy_points,position_WR,0.0
boosting_absolute,target_total_fantasy_points,prior_year_total_fantasy_points,0.6165260113434968
boosting_absolute,target_total_fantasy_points,age_x_prior_missed_rate,0.13106039734440064
